city,confirmedCount,country,createdAt,curedCount,deadCount,id,province,recordAt,sourceUrl,suspectedCount,updatedAt,virus
"兰州",30,"中国",1580911083934,3,0,ck69dn3by0000rf7cjlyvoxpo,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041090362,cnov
"天水",10,"中国",1580911084524,0,0,ck69dn3sc0002rf7ccd3xo2z8,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041090659,cnov
"陇南",4,"中国",1580911084752,0,0,ck69dn3yo0003rf7cv6tbiiqw,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041092013,cnov
"临夏",3,"中国",1580911085003,0,0,ck69dn45n0004rf7c5h1sxcem,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041093837,cnov
"定西",3,"中国",1580911085245,1,0,ck69dn4cd0005rf7cel0hf0y5,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041095564,cnov
"张掖",2,"中国",1580911085477,0,0,ck69dn4it0006rf7cs4b9dc1i,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041097315,cnov
"白银",1,"中国",1580911085757,0,0,ck69dn4ql0007rf7c9fhyu5ru,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041099028,cnov
"金昌",1,"中国",1580911086063,0,0,ck69dn4z30008rf7cs1k36mus,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041099260,cnov
"平凉",1,"中国",1580911086380,0,0,ck69dn57w0009rf7cdftf6k70,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041099544,cnov
"甘南",1,"中国",1580911086691,0,0,ck69dn5gj0010rf7cqkncr4ou,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041099858,cnov
