confirmedCount,country,createdAt,curedCount,deadCount,id,province,recordAt,sourceUrl,suspectedCount,updatedAt,virus
57,"中国",1580911084086,4,0,ck69dn3g60001rf7cq0252rsf,"甘肃省",1580830706203,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041100670,cnov
476,"中国",1580911087802,20,0,ck69dn6be0013rf7czeuuyynf,"江西省",1580827042773,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041105723,cnov
675,"中国",1580911093680,27,2,ck69dnauo0025rf7cflw27bl5,"河南省",1580826775073,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,2,1581041119751,cnov
81,"中国",1580911104275,2,0,ck69dnj0z0044rf7cc70xk8ai,"辽宁省",1580825301119,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041130907,cnov
593,"中国",1580911112033,31,0,ck69dnp0h0058rf7cv495fquz,"湖南省",1580824570613,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041142400,cnov
282,"中国",1580911119700,14,1,ck69dnuxg0073rf7ctfyumxxz,"四川省",1580823105348,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041154831,cnov
67,"中国",1580911132538,2,0,ck69do4u20095rf7cffucvvtt,"天津市",1580822903663,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041163288,cnov
813,"中国",1580911139903,30,0,ck69doain0109rf7ciedcrj5u,"广东省",1580820916467,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041177538,cnov
829,"中国",1580911150818,62,0,ck69doixu0130rf7c9f2ga8wl,"浙江省",1580820519679,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041183818,cnov
74,"中国",1580911157649,4,0,ck69doo7l0142rf7c74abrvyb,"山西省",1580819339567,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041191991,cnov
142,"中国",1580911165070,2,0,ck69dotxq0154rf7clynox4we,"陕西省",1580819273123,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041198719,cnov
344,"中国",1580911171933,9,2,ck69doz8d0167rf7cokx5kqe4,"重庆市",1580819140282,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041223599,cnov
219,"中国",1580911193931,12,1,ck69dpg7f0205rf7cd8sx443x,"上海市",1580819140282,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581041237014,cnov
80,"中国",1580911204857,5,1,ck69dpomx0224rf7c8hdw7tjb,"海南省",1580819140282,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581039099087,cnov
29,"中国",1580911213009,0,0,ck69dpuxd0239rf7c7zmxjgoz,"新疆维吾尔自治区",1580819140282,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581039104016,cnov
15,"中国",1580911218077,0,0,ck69dpyu50249rf7c45p7i4e3,"青海省",1580819140282,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581039105250,cnov
194,"中国",1580911219565,3,0,ck69dpzzh0252rf7c06zuedcr,"福建省",1580818345653,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581039107638,cnov
275,"中国",1580911225267,11,0,ck69dq4dv0262rf7c81k36k85,"山东省",1580817543540,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581039114713,cnov
308,"中国",1580911233534,12,0,ck69dqari0278rf7cvkhomnn3,"江苏省",1580817067181,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579580049&enterid=1579580049&from=groupmessage&isappinstalled=0&tdsourcetag=s_pcqq_aiomsg,0,1581039124778,cnov
