content,createdAt,id,recordAt,subTitle,title,updatedAt
"与宠物接触后，用肥皂和水洗手可以显著减少其他常见细菌在宠物和人类之间的传播，如大肠杆菌和沙门氏菌。」但如果宠物在外面明确接触到新型冠状病毒肺炎患者，谨慎起见，还是需要将宠物进行隔离观察。请大家爱惜宠物，不要随意遗弃。",1581398406816,ck6hfs3y90000s87c6p1w1s4i,1580464458985,"世界卫生组织回应：目前没有证据显示狗猫等宠物会感染新型冠状病毒","人会传染宠物？宠物染病会传染人？",1581398406817
"青海、南宁、丽江等各城市版本的均为编造。另外，此次新型冠状病毒来源是非法销售的野生动物，目前未明确中间宿主。但正规渠道售卖的各类肉制品仍可彻底煮熟后食用。",1581398407543,ck6hfs3yb0002s87cf4mx3x1o,1580454402875,"丁香医生团队查证：青海、南宁、丽江等各城市版本的均为编造。正规渠道售卖的仍可放心吃。","别吃鱼，某地有121个鱼塘感染？",1581398407543
"目前尚无证据证明喝茶可以预防新冠病毒。尽量保持室内空气流通，注意卫生，勤洗手，吃熟食，远离人群就是最好的预防手段了。",1581398407656,ck6hfs3yb0003s87c880tf796,1580454260294,"丁香医生团队辟谣：补水挺好，预防病毒没用","喝茶可以预防新冠病毒？",1581398407656
"在国家卫健委印发的《新型冠状病毒感染的肺炎诊疗方案（试行第四版）》中显示，新型冠状病毒经呼吸道飞沫传播是主要的传播途径，亦可通过接触传播。而眼神对视不属于前述任何一种。
另外，造谣网民已被依法处罚。",1581398407769,ck6hfs3yb0004s87c4nxxem5w,1580452983296,"丁香医生团队辟谣：系编造，造谣网民已被依法处罚。","新冠病毒通过眼神对视传播？",1581398407769
"太阳的照射温度达不到56℃，且日照紫外线也达不到紫外线消毒灯的强度，不论从哪一个角度都不能达到杀灭病毒的要求。若要外出晒太阳，仍需戴好口罩，做好必要防护。",1581398407877,ck6hfs3yb0005s87c2iq92peg,1580452354486,"丁香医生团队辟谣：太阳的照射温度达不到 56℃，且日照紫外线也达不到紫外线消毒灯的强度","晒太阳可以杀灭新型冠状病毒？",1581398407877
"美国疾控中心指出N95口罩在特殊情况下（比如口罩供应不足等），可在严格规范下「延长使用期限」以及「有限重复使用」。前者指一次佩戴不取下来，去接触不同的病人；后者指在满足一定条件下，可重复使用一定次数。若厂家说明了可重复使用次数，那以厂家说的为准；若没说明，那「不超过5次」。7天大大超过了这个次数。吹风机吹或者喷洒酒精，都可能会破坏口罩的保护作用。",1581398408033,ck6hfs3yb0006s87c1ufq1zzk,1580452217702,"丁香医生团队：吹风机吹或者喷洒酒精，都可能破坏口罩的保护作用","用了7天的N95口罩消毒可继续用？",1581398408033
"浓度为60%～80%的乙醇是一种有效的杀毒剂，可以灭活所有亲脂病毒和许多亲水性病毒。但是，90%的酒精浓度可能会降低消毒效力，因为病毒中含有的基本物质蛋白质，在无水的情况下不容易发生变异。",1581398408186,ck6hfs3yc0008s87c9kl8ddc5,1580450868745,"丁香医生团队辟谣：浓度为 60% - 80% 的乙醇才有效","酒精浓度越高，消毒效果越好？",1581398408186
"在普通家居、出行生活中，不必考虑衣物材质和静电问题对病毒吸附的影响，舒适为主。病毒通过飞沫传播，并不是单独在空气中，其可能在任何材质的衣物上停留，双手勿接触口鼻眼等、回家及时洗手、做好外套的消毒与吹风，比材质选择更重要。",1581398408323,ck6hfs3yc0009s87cgbd21gtr,1580450535836,"丁香医生团队辟谣：从流感病毒的性质推测，病毒更喜欢光滑无孔的表面，在毛织品上留存时间更短。","带毛领或绒线的外套容易吸附病毒？",1581398408323
"现金流通渠道复杂，确实会有很多细菌病毒等病原体，但并不是接触了就一定会感染，而是不洗手又揉眼睛、拿东西吃或摸伤口等。无论是否防范新型冠状病毒，都建议大家在使用现金后，注意洗手、正确洗手，避免脏手接触眼睛、口鼻。",1581398408474,ck6hfs3yc000as87c284u8yfh,1580450069718,"丁香医生团队：无论何时，接触了现金都要洗手","不要收现金，会感染新冠病毒？",1581398408475
"无论是用微波炉、电烤箱还是蒸锅加热口罩，一方面口罩内部结构破坏，口罩无法再次使用；另一方面，微波炉、电烤箱和蒸锅由于处理医疗垃圾，也不能继续加热食物。",1581398408585,ck6hfs3yc000bs87camuob7h6,1580449336653,"丁香医生团队辟谣：不可以，不然微波炉和口罩都废了","用微波炉加热口罩可以消毒？",1581398408585
